id,speaker,text
0,obama,"During the recession, Marvin’s competitors closed dozens of plants, let hundreds of workers go"
1,obama,And we will rise or fall on that journey as one nation and as one people
2,obama,My -- My differences with him -- My differences with him are not personal
3,obama,"That's why we've excluded lobbyists from policymaking jobs, or seats on federal boards and commissions"
4,obama,I recognize that many still have a strong desire to focus on the past
5,obama,It's been used by many past Presidents -- Republican and Democrat -- for many decades
6,obama,Al Qaeda has said it seeks a bomb and that it would have no problem with using it
7,obama,I am honored -- I'm honored and grateful to be with all of you
8,obama,It was bought with days in jail cells and nights of bomb threats
9,obama,"A hundred and fifty years ago, we were torn open by a terrible conflict"
10,obama,"They chose to take responsibility for their lives, for their education, and set goals for themselves"
11,obama,"Despite all that, thousands of people are signing up and saving money as we speak"
12,obama,I happen to mention that Kamala Harris is the best-looking attorney general in the country
13,obama,"We're pursuing the goal of two states, Israel and Palestine, living in peace and security"
14,obama,"And to do that, we must confront the common enemies of humanity: nuclear weapons and poverty, ignorance and disease"
15,obama,"They’re realizing, we want to be here with American workers making American products"
16,obama,"That is why we are renewing our diplomacy, while relieving the burden on our military"
17,obama,"And Ashley said that when she was 9 years old, her mother got cancer"
18,obama,The peace of the region will also be advanced if Iran forgoes any nuclear weapons ambitions
19,obama,He was one of the liberators -- someone who at a very tender age had seen the unimaginable
20,obama,"5,6 Now, the memory of Selma still lives on in the spirit of the Voting Rights Act"
21,obama,[Cross talk from the Floor]Senate President: Is there objection? Seeing no objection --Senator Obama: Thank you
22,obama,That also means an economic recovery plan that is free from earmarks and pet projects
23,obama,"On Sunday, a car bomb went off in central Baghdad, and more than 30 people died"
24,obama,"Today, it is violence within Muslim communities that has become the source of so much human misery"
25,obama,So the only way for America’s energy supply to be truly secure is by permanently reducing our dependence on oil
26,obama,What we've already achieved gives us hope for what we can and must achieve tomorrow
27,obama,"And given their history, there are, of course, no guarantees that the Iranian regime will make the right choice"
28,obama,That’s why centuries of pioneers and immigrants have risked everything to come here
29,obama,"Indeed, the existence of Guantanamo likely created more terrorists around the world than it ever detained"
30,obama,"And just to set the record straight, I really do enjoy attending these dinners"
31,obama,"If you can achieve some reality TV notoriety, that’s better than lasting achievement"
32,obama,"You’ve met your responsibilities, you’ve done your duty -- not just when it’s easy"
33,obama,"We’re going to set up a kind of ""reverse boot camp"" for our departing servicemembers"
34,obama,Some of the most successful people in the world are the ones who've had the most failures
35,obama,"The confidence that our destiny is never written for us, it's written by us"
36,obama,And I am confident all of you are going to get the job done right here in Afghanistan
37,obama,"As Americans, we don’t mind paying our fair share of taxes as long as everybody else does, too"
38,obama,The resolution that passed lays out very clear conditions that must be met
39,obama,You worship all of the great religions that enrich the life of our people
40,obama,"We will continue to promote renewable energy and efficiency, and share new technologies with countries around the world"
41,obama,"We need to make sure that we’ve got clear plans, that we’re developing them"
42,obama,"King said, “We are like the children of Israel, marching from slavery to freedom"
43,obama,"Congratulations on your graduation, and thank you for allowing me the honor of being a part of it"
44,obama,And that’s why I signed a bill that will provide tax cuts for small businesses that hire unemployed workers
45,obama,"In cities and towns across the country, Libyans took to the streets to claim their basic human rights"
46,obama,"And we have disrupted plots at home and abroad, and saved American lives"
47,obama,"I am particularly grateful to be accompanied by my friend Elie Wiesel, as well as Mr"
48,obama,"I'm thinking about Andoni Schultz, from Los Altos, California, who's fought brain cancer since he was three"
49,obama,There’s going to have to be an Iraqi solution that America and other countries and allies support
50,obama,"With less money flowing into the Treasury, some useful programs or policies might need to be delayed"
51,obama,"“There but for the grace of God go I,” we say to ourselves"
52,obama,"And she remembered what Principal Kiner told her: ""You can't let the past get you down"
53,obama,"So here in New Delhi, Prime Minister Modi and I have begun this work anew"
54,obama,"To the people of Santiago, to the people of Chile, thank you so much for your wonderful welcome"
55,obama,"We sell more of our exports to Mexico than we do to Brazil, Russia, India and China combined"
56,obama,"No armies came to our shores, and our military was not the principal target"
57,obama,They understand that they no longer need to be just a source of cheap labor or cheap exports
58,obama,They've already cut insurance for people who’ve lost their jobs through no fault of their own
59,obama,"Day after day, in the face of bullets and bombs, the Libyan people refused to give back that freedom"
60,obama,"In the Middle East, we share the goal of a lasting peace between Israel and its neighbors"
61,obama,"Indeed, it is this constant flow of immigrants that helped to make America what it is"
62,obama,You’ve got educators raising standards and then inspiring their students to meet them
63,obama,This is not to say that race has not been an issue in this campaign
64,obama,"For example, I had my heart set on the Nobel Prize -- for Physics"
65,obama,6 million jobs that the Recovery Act has already created and saved according to the Congressional Budget Office
66,obama,"Sixty-one years ago, George Marshall announced the plan that would come to bear his name"
67,obama,I don’t have to tell you that nurses all too often have been given short shrift
68,obama,"We are America, and we don’t just keep up with changing times, we set the pace for changing times"
69,obama,"I still believe we can replace acrimony with civility, and gridlock with progress"
70,obama,And you should be constantly thinking how can I help this person do their jobs even better
71,obama,"And in America, that means redoubling our efforts to close the prison at Guantanamo"
72,obama,So we were honored to visit the residence where Gandhi and King both stayed -- Mani Bhavan
73,obama,That's why the international community is more united and the Islamic Republic of Iran is more isolated
74,obama,"I want to talk about what we've done, why we've done it, and what we have left to do"
75,obama,"And I apologize for keeping you guys up late, coming on such short notice"
76,obama,"Together, we can build a world where people are protected, prosperity is enlarged, and our power truly serves progress"
77,obama,Violence has been reduced substantially from the horrific sectarian killing of 2006 and 2007
78,obama,"Over the next two years, this plan will save or create 3"
79,obama,"But for the 15 percent of Americans who don't have health insurance, this opportunity is life-changing"
80,obama,"That’s my promise to every one of you, every man and woman who wears America’s uniform"
81,obama,"And as they do, we will be proud to stand with them as a steadfast partner"
82,obama,I’ve seen you engage and I’ve seen you turn out in record numbers
83,obama,We want to expand the trade and investment that can bring prosperity for all people
84,obama,"And high-tech industries, like those across the Valley, support millions of American jobs"
85,obama,This is not about singling out individual nations -- it's about the responsibilities of all nations
86,obama,"So every day, we’ve got to keep upping our game at the same time"
87,obama,We see that in the evangelical leaders who are rallying their congregations to protect our planet
88,obama,And that’s what I want to speak to all of you about today
89,obama,"I've shared the pain of families who've lost their homes, and the frustration of workers who've lost their jobs"
